Player,Position,Cost,Points,Calc Points,App,Sub,Gls,Ass,MotM,%,Yel,Red,Pass 1,Pass 2,Tack 1,Tack 2,Shot 1,Shot 2,Save 1,Save 2,Cl Sh,Gl Con
"SALAH, M",STR,12.9,378.0,349.0,34,2,32,11,12,51.12,1,0,0,0,1,0,11,1,0,0,0,25
"DE BRUYNE, K",MID,12.0,281.0,281.0,36,1,8,17,10,29.07,2,0,6,11,3,2,2,0,0,0,0,17
"KANE, H",STR,13.0,280.0,283.0,35,2,29,2,7,37.7,5,0,0,0,0,0,12,2,0,0,0,0
"OTAMENDI, N",DEF,10.2,244.0,246.75,33,1,4,0,0,4.93,9,0,3,26,4,0,0,0,0,0,15,25
"AZPILICUETA, C",DEF,10.3,240.0,248.5,37,0,2,6,0,3.34,1,0,7,15,8,1,0,0,0,0,15,38
"ERIKSEN, C",MID,11.2,230.0,230.0,37,0,11,10,4,10.91,0,0,8,4,2,0,4,0,0,0,0,31
"STERLING, R",MID,11.5,228.0,228.0,29,4,18,15,3,2.74,3,1,0,0,0,0,2,0,0,0,0,20
"SILVA, D",MID,10.5,228.0,228.0,28,1,9,11,6,7.05,5,0,4,17,0,0,0,0,0,0,0,15
"DE GEA, D",GK,8.0,218.0,220.0,37,0,0,0,2,13.18,0,0,0,0,0,0,0,0,4,3,18,28
"WALKER, K",DEF,10.5,204.0,205.5,32,0,0,6,1,5.01,2,1,4,14,2,0,0,0,0,0,15,22
"AGUERO, S",STR,12.8,202.0,202.0,22,3,21,6,4,8.83,2,0,0,0,0,0,7,0,0,0,0,0
"HAZARD, E",MID,11.8,199.0,199.0,28,6,12,5,9,8.5,2,0,0,0,0,0,2,1,0,0,0,25
FERNANDINHO,MID,9.9,196.0,196.0,33,1,5,4,1,3.72,7,0,5,23,5,0,0,0,0,0,0,21
"MAHREZ, R",MID,10.8,195.0,195.0,34,2,12,12,3,3.93,2,0,0,0,0,0,2,0,0,0,0,49
"FIRMINO, R",STR,12.2,193.0,193.0,32,5,15,8,2,9.66,1,0,0,0,7,0,1,0,0,0,0,0
"MORAES, E",GK,7.9,188.0,178.5,36,0,0,0,0,4.65,1,0,0,0,0,0,0,0,1,0,16,26
"ALONSO, M",DEF,10.1,187.0,190.5,33,0,7,2,2,3.05,6,0,0,0,2,0,2,0,0,0,13,30
"XHAKA, G",MID,9.6,186.0,186.0,37,1,1,8,0,2.51,10,0,10,19,4,2,0,0,0,0,0,47
"VARDY, J",STR,11.5,185.0,188.0,37,0,20,1,2,3.74,3,0,0,0,0,0,2,0,0,0,0,0
"LLORIS, H",GK,7.5,183.0,183.25,36,0,0,0,1,8.19,1,0,0,0,0,0,0,0,4,1,15,35
"LUKAKU, R",STR,12.7,183.0,186.0,33,1,16,7,2,10.66,4,0,0,0,0,0,6,0,0,0,0,0
"SANE, L",MID,10.3,182.0,182.0,27,5,10,15,4,16.49,4,0,0,0,1,0,0,0,0,0,0,21
"HEUNG-MIN, S",STR,10.6,181.0,181.0,27,10,12,8,5,7.0,0,0,0,0,0,0,4,0,0,0,0,0
"VERTONGHEN, J",DEF,10.0,179.0,182.25,36,0,0,0,0,2.54,4,0,10,7,3,0,0,0,0,0,15,31
"ARNAUTOVIC, M",STR,10.1,178.0,167.0,28,3,11,6,7,9.84,5,1,0,0,2,0,2,0,0,0,0,44
"POPE, N",GK,6.9,175.0,168.25,34,1,0,0,3,6.17,3,0,0,0,0,0,0,0,5,3,11,35
"VALENCIA, A",DEF,9.8,173.0,174.5,31,0,3,1,1,3.24,7,0,7,1,2,0,0,0,0,0,15,22
"POGBA, P",MID,10.6,172.0,172.0,25,2,6,11,5,9.41,5,1,1,8,3,0,1,0,0,0,0,18
"RYAN, M",GK,6.5,172.0,174.5,38,0,0,0,4,4.1,0,0,0,0,0,0,0,0,11,0,10,54
"MONREAL, N",DEF,9.7,172.0,178.75,26,2,5,2,1,1.0,3,0,3,9,3,0,0,0,0,0,10,29
"COURTOIS, T",GK,7.7,165.0,170.5,35,0,0,0,0,2.02,2,0,0,0,0,0,0,0,3,0,15,34
"GROSS, P",MID,9.3,162.0,162.0,35,3,7,8,4,3.06,2,0,0,0,1,1,0,0,0,0,0,43
"ZAHA, W",MID,10.2,161.0,161.0,28,1,9,5,6,7.37,5,0,0,0,2,0,3,0,0,0,0,29
"OZIL, M",MID,10.4,159.0,159.0,24,2,4,9,5,2.07,4,0,5,9,0,0,0,0,0,0,0,34
"RAMSEY, A",MID,10.0,159.0,159.0,21,3,7,10,3,2.88,0,0,3,2,4,0,2,1,0,0,0,24
"ALLI, D",MID,11.1,158.0,158.0,34,2,9,12,0,2.65,7,0,0,0,1,1,0,0,0,0,0,26
"LACAZETTE, A",STR,11.4,158.0,158.0,26,6,14,5,2,3.44,1,0,0,0,0,0,3,0,0,0,0,0
"RUDIGER, A",DEF,9.5,157.0,159.5,25,2,2,1,1,1.23,4,0,5,7,2,0,0,0,0,0,12,22
"DAVIES, B",DEF,9.6,157.0,157.0,26,3,2,7,0,1.21,3,0,2,1,4,0,0,0,0,0,12,20
"MATIC, N",MID,9.6,156.0,156.0,35,1,1,1,4,3.33,6,0,5,14,5,0,0,0,0,0,0,24
"DOUCOURE, A",MID,8.7,156.0,156.0,37,0,7,4,1,5.89,10,0,4,4,5,1,0,0,0,0,0,56
"SHAQIRI, X",MID,9.5,155.0,158.0,36,0,8,8,3,6.76,5,0,0,0,0,0,2,0,0,0,0,56
"FABIANSKI, L",GK,6.5,155.0,153.0,38,0,0,0,1,4.19,0,0,0,0,0,0,0,0,4,5,9,56
"SANCHEZ, A",STR,12.0,153.0,156.0,29,2,9,8,4,6.39,5,0,0,0,1,0,5,0,0,0,0,0
"MUSTAFI, S",DEF,8.8,153.0,158.5,25,2,3,1,0,1.75,6,0,5,7,6,1,0,0,0,0,10,30
"LOVREN, D",DEF,8.7,151.0,155.0,24,5,2,1,1,5.8,4,0,3,9,1,0,0,0,0,0,11,24
"MOOY, A",MID,8.7,149.0,149.0,34,2,4,3,5,4.42,4,0,5,1,6,0,0,0,0,0,0,48
"PICKFORD, J",GK,7.2,148.0,153.5,38,0,0,0,1,13.32,0,0,0,0,0,0,0,0,7,1,10,58
"BELLERIN, H",DEF,8.9,146.0,157.0,34,1,2,3,0,2.65,5,0,3,1,3,2,0,0,0,0,12,44
"LOSSL, J",GK,6.5,146.0,153.5,38,0,0,1,2,2.27,1,0,0,0,0,0,0,0,5,0,10,58
"ROBERTSON, A",DEF,9.0,145.0,146.5,22,0,1,5,1,13.01,2,0,3,8,1,0,0,0,0,0,10,18
"SANCHEZ, D",DEF,8.7,144.0,146.75,29,2,0,0,0,5.27,1,1,5,7,0,0,0,0,0,0,13,21
"FABREGAS, C",MID,9.8,144.0,144.0,25,7,2,4,2,1.03,4,1,4,11,8,1,0,0,0,0,0,25
"KANTE, N",MID,9.4,143.0,143.0,34,0,1,1,1,9.01,3,0,9,5,11,3,0,0,0,0,0,29
"MANE, S",MID,11.0,143.0,143.0,28,1,10,8,0,10.93,3,1,0,0,1,0,3,0,0,0,0,19
"SMALLING, C",DEF,9.4,140.0,141.0,28,1,4,0,0,1.14,4,0,3,0,1,1,0,0,0,0,11,24
RICHARLISON,MID,8.6,140.0,140.0,32,6,5,8,2,12.65,4,0,0,0,2,2,0,0,0,0,0,47
"MILIVOJEVIC, L",MID,8.7,140.0,143.0,35,1,10,2,1,5.25,8,0,1,0,2,1,0,0,0,0,0,51
"CECH, P",GK,7.3,140.0,148.0,34,0,0,0,1,0.63,1,0,0,0,0,0,0,0,4,1,11,48
"LASCELLES, J",DEF,8.1,137.0,137.25,32,1,3,0,2,8.45,5,0,2,1,1,0,0,0,0,0,9,31
WILLIAN,MID,9.5,137.0,137.0,20,16,6,7,3,4.43,1,0,0,0,1,0,4,0,0,0,0,17
"MAGUIRE, H",DEF,8.5,133.0,149.0,38,0,2,4,2,30.52,7,0,1,0,6,0,0,0,0,0,9,60
"JONES, P",DEF,9.1,131.0,134.25,23,0,0,0,2,0.61,2,0,3,0,1,0,0,0,0,0,15,11
"GUEYE, I",MID,8.6,130.0,130.0,32,1,2,2,3,1.73,6,1,4,0,12,3,0,0,0,0,0,40
"JESUS, G",STR,12.1,130.0,136.0,19,10,13,6,1,4.24,6,0,0,0,1,0,2,0,0,0,0,0
"MORATA, A",STR,11.7,130.0,130.0,24,7,11,6,1,1.15,7,0,0,0,0,0,2,0,0,0,0,0
"GUDMUNDSSON, J",MID,8.6,128.0,128.0,32,3,2,9,4,1.63,2,0,0,0,2,0,0,0,0,0,0,29
"SCHMEICHEL, K",GK,6.7,128.0,130.25,33,0,0,0,2,8.68,3,0,0,0,0,0,0,0,5,1,8,47
"MATIP, J",DEF,8.7,126.0,132.25,22,3,1,0,0,0.67,3,0,4,9,4,0,0,0,0,0,9,27
"KOLASINAC, S",DEF,8.3,126.0,133.5,25,2,2,4,1,1.82,3,0,0,1,4,0,0,0,0,0,10,30
DANILO,DEF,8.4,126.0,127.25,13,10,3,2,0,3.59,2,0,0,5,3,1,0,0,0,0,9,11
"GOMEZ, J",DEF,8.2,125.0,128.5,21,2,0,2,1,2.25,3,0,3,5,8,0,0,0,0,0,9,22
"NDIDI, W",MID,8.6,122.0,122.0,33,0,0,4,1,1.63,6,2,1,1,17,4,0,0,0,0,0,44
"KOSCIELNY, L",DEF,8.5,122.0,130.0,25,0,2,0,0,1.21,4,0,7,6,3,0,0,0,0,0,8,32
"SCHINDLER, C",DEF,7.9,122.0,134.75,37,0,0,2,1,2.97,6,1,2,1,7,2,0,0,0,0,9,53
"MURRAY, G",STR,9.6,122.0,128.0,25,10,12,0,3,1.63,9,0,0,0,0,0,1,0,0,0,0,0
"LINGARD, J",MID,9.7,122.0,122.0,20,13,8,5,0,9.63,2,0,1,0,0,0,3,0,0,0,0,18
"TARKOWSKI, J",DEF,8.5,121.0,123.5,31,0,0,1,2,5.27,5,0,0,0,3,0,0,0,0,0,11,30
"TRIPPIER, K",DEF,8.5,120.0,122.75,21,3,0,6,1,34.65,1,0,3,1,2,1,0,0,0,0,9,21
"PEREZ, A",STR,9.8,119.0,121.0,28,8,8,5,1,1.67,3,0,0,0,0,0,0,0,0,0,0,0
"VAN DIJK, V",DEF,9.9,118.0,127.0,25,1,0,0,0,9.91,1,0,5,9,1,0,0,0,0,0,9,28
"WILSON, C",STR,9.7,118.0,118.0,23,5,8,2,3,1.69,0,0,0,0,0,0,3,0,0,0,0,0
"RITCHIE, M",MID,8.6,117.0,117.0,32,3,3,5,3,1.35,6,0,0,0,4,0,0,0,0,0,0,32
"BERTRAND, R",DEF,8.2,117.0,126.75,35,0,0,5,2,2.77,2,0,1,1,3,0,0,0,0,0,7,49
"BARNES, A",STR,9.7,116.0,116.0,21,15,9,0,4,0.82,10,0,0,0,1,0,1,0,0,0,0,0
"TOMKINS, J",DEF,7.8,116.0,122.0,27,1,3,0,2,1.85,8,0,1,0,4,0,1,0,0,0,8,32
"IZQUIERDO, J",MID,8.5,114.0,114.0,23,9,5,4,3,1.14,2,0,0,0,1,0,1,0,0,0,0,31
"VAN AANHOLT, P",DEF,7.6,114.0,124.5,25,3,5,1,2,15.9,7,0,0,0,5,0,0,0,0,0,6,38
"KING, J",STR,9.3,113.0,113.0,27,6,8,3,1,2.23,3,0,0,0,1,0,0,0,0,0,0,0
"DELPH, F",MID,8.5,112.0,112.0,21,1,1,2,0,1.77,2,0,3,13,4,2,0,0,0,0,0,15
"LANZINI, M",MID,8.6,111.0,114.0,23,4,5,7,1,2.38,4,0,1,2,1,0,1,0,0,0,0,40
"BEGOVIC, A",GK,6.6,111.0,120.0,38,0,0,0,1,1.7,2,0,0,0,0,0,0,0,7,0,6,60
"MARTIAL, A",STR,10.5,111.0,111.0,18,12,9,5,0,0.94,1,0,0,0,1,0,1,0,0,0,0,0
"JORGENSEN, M",DEF,7.6,111.0,126.5,38,0,0,2,0,1.45,6,0,3,1,3,0,0,0,0,0,10,58
"CRESSWELL, A",DEF,8.0,111.0,131.0,35,1,1,7,0,1.89,7,0,0,0,1,0,1,0,0,0,10,60
"KOMPANY, V",DEF,9.5,110.0,109.25,17,0,1,1,0,0.91,6,0,5,10,2,0,0,0,0,0,6,11
"DIER, E",MID,8.9,110.0,110.0,32,2,0,2,0,2.99,4,0,4,8,5,0,0,0,0,0,0,28
"HENDERSON, J",MID,9.3,110.0,110.0,25,2,1,1,0,2.64,1,0,4,12,3,0,0,0,0,0,0,15
"TOWNSEND, A",MID,8.4,109.0,109.0,35,1,2,9,0,2.23,3,0,0,0,1,0,0,0,0,0,0,47
"MOUNIE, S",STR,9.4,109.0,109.0,21,7,7,2,3,0.53,2,0,0,0,1,0,2,0,0,0,0,0
"STONES, J",DEF,8.9,108.0,110.25,16,2,0,0,0,7.09,0,0,2,11,1,0,0,0,0,0,8,11
"ROMEU, O",MID,8.5,108.0,108.0,34,0,1,0,1,0.48,11,0,1,4,7,4,0,0,0,0,0,44
"RASHFORD, M",STR,10.4,108.0,108.0,17,18,7,5,1,4.61,3,0,0,0,0,0,2,0,0,0,0,0
"KLAVAN, R",DEF,8.0,107.0,110.25,16,3,1,0,0,0.56,0,0,2,8,2,0,0,0,0,0,8,15
"KARIUS, L",GK,7.3,107.0,103.5,19,0,0,0,0,0.35,1,0,0,0,0,0,0,0,0,0,10,14
"OX-CHAMBERLAIN, A",MID,9.7,107.0,107.0,17,18,3,7,3,0.69,3,0,0,0,2,0,0,0,0,0,0,26
"WARD, S",DEF,7.4,107.0,109.25,28,0,1,1,0,8.07,1,0,0,0,3,0,0,0,0,0,9,27
"WOOD, C",STR,9.3,106.0,106.0,20,4,10,1,2,2.31,1,0,0,0,0,0,0,0,0,0,0,0
"ZOUMA, K",DEF,7.6,105.0,116.5,32,2,1,0,3,0.76,1,0,0,0,6,0,0,0,0,0,6,50
"AKE, N",DEF,8.1,104.0,117.5,37,1,2,3,0,2.69,5,0,1,1,2,0,0,0,0,0,6,58
"YOUNG, A",DEF,8.7,103.0,99.25,28,2,2,5,2,1.23,7,0,1,1,5,0,0,0,0,0,0,23
"MILNER, J",MID,8.8,103.0,103.0,16,16,0,3,2,1.84,3,0,5,5,4,2,0,0,0,0,0,25
"STEPHENS, D",MID,8.3,103.0,103.0,36,0,0,3,0,0.4,6,0,2,1,6,3,0,0,0,0,0,50
"DANIELS, C",DEF,7.7,102.0,110.75,34,1,1,3,0,2.35,0,0,1,0,3,0,0,0,0,0,6,49
"MCARTHUR, J",MID,8.3,102.0,102.0,27,6,5,2,0,0.52,5,0,0,0,4,1,0,0,0,0,0,35
"HENNESSEY, W",GK,6.5,101.0,111.75,27,0,0,0,1,2.68,1,0,0,0,0,0,0,0,3,3,7,41
"CAHILL, G",DEF,8.4,101.0,106.0,24,3,0,0,0,3.27,1,1,5,2,2,0,0,0,0,0,9,24
"ZABALETA, P",DEF,7.6,101.0,122.5,37,0,0,1,0,5.57,9,0,0,0,7,2,0,0,0,0,10,62
"NOBLE, M",MID,8.0,101.0,101.0,28,1,4,0,2,3.09,6,0,3,0,5,0,0,0,0,0,0,43
"MKHITARYAN, H",MID,9.7,100.0,100.0,20,6,3,9,1,5.11,2,0,0,0,3,0,0,0,0,0,0,16
"CORK, J",MID,8.4,100.0,100.0,38,0,2,1,1,0.53,7,0,0,0,4,1,0,0,0,0,0,34
"SILVA, B",MID,9.3,100.0,100.0,15,20,6,4,0,1.07,0,0,0,0,1,0,0,0,0,0,0,9
"FRASER, R",MID,8.3,100.0,100.0,23,3,5,3,2,0.86,0,0,0,0,1,0,0,0,0,0,0,35
"CALVERT-LEWIN, D",STR,9.2,99.0,99.0,18,14,4,8,1,0.83,4,0,0,0,1,0,1,0,0,0,0,0
